sni_index,code_index,sni,bleu,code,check
139,103568,"function distribute(address _receiver, uint _amount) private {
    
    require(_amount > 0);
    
    require(balances[_receiver] + _amount > balances[_receiver]);

    
    balances[distributor] -= _amount;
    balances[_receiver] += _amount;
}",0.715307546,"function send(address receiver, uint amount) public {
        require(amount <= balanceOf[msg.sender], ""Insufficient balance."");
        balanceOf[msg.sender] -= amount;
        balanceOf[receiver] += amount;
        emit Sent(msg.sender, receiver, amount);
    }",
158,105652,"function () public payable {
      require(msg.data.length == 0);
      DoSomething();
    }",0.740939422,"function() public payable {

    require(msg.data.length == 0, ""Not in use"");

  }",
160,119716,"function d(uint num) public pure {
    num += 2; 
}",0.71584187,"function add(uint num) public {
        total = total + num;
    }",
181,17387,"function vote(uint proposal) {
    Voter sender = voters[msg.sender];
    require(!sender.voted);
    sender.voted = true;
    sender.vote = proposal;

    
    
    
    proposals[proposal].voteCount += sender.weight;
}",0.793139767,"function vote(uint8 proposal) {
        Voter sender = voters[msg.sender];
        if (sender.voted || proposal >= proposals.length) return;
        sender.voted = true;
        sender.vote = proposal;
        proposals[proposal].voteCount += sender.weight;
    }",
200,6654,"function claimOwnership1() public {
    owner = pendingOwner;
    pendingOwner = address(0);
}",0.785275844,"function claimOwnership() onlyPendingOwner {
    owner = pendingOwner;
    pendingOwner = 0x0;
  }",
201,6654,"function claimOwnership2() public {
    owner = pendingOwner;
    pendingOwner = address(0);
}",0.785275844,"function claimOwnership() onlyPendingOwner {
    owner = pendingOwner;
    pendingOwner = 0x0;
  }",
207,111282,"function makeDonation() public payable{
    Donations += msg.value;
}",0.769784632,"function donate() public payable {
		totalDonations += msg.value;
	}",
263,77599,"function () external payable {
        
        if(msg.value < 10 ether){
        revert();
        }
        balanceOf[msg.sender] += msg.value;
    }",0.726103535,"function deposit() public payable {
        if (msg.value >= 10 finney)
            balances[msg.sender] += msg.value;
        else
            revert();
    }",
267,28748,"function test(uint value) {
    if (balances[msg.sender] < value)
        return;

    balances[msg.sender] -= value;
}",0.732469685,"function burn(uint _value) {
        if (balances[msg.sender] >= _value) {
            balances[msg.sender] -= _value;
            totalSupply      -= _value;
        }
    }",
279,106477,"function deposit(uint referenceNumber) public payable {
    
}",0.731746176,"function deposit() public payable {
        require(msg.value > 0);
    }",
283,118369,"function deposit() public payable {
    TokenPurchase(msg.sender, wallet, msg.value, DEPOSIT_TOKENS);
  }",0.726926285,"function depositTokens() public payable {

    EMACTokenPurchase(msg.sender, teamWallet, msg.value, TEAM_TOKENS);

  }",
300,89374,"function _beforeTokenTransfer(address from, address to, uint256 amount) internal virtual override {
    super._beforeTokenTransfer(from, to, amount);

    require(!paused(), ""ERC20Pausable: token transfer while paused"");
}",0.783974165,"function _beforeTokenTransfer(address from, address to, uint256 amount) internal virtual override {
        super._beforeTokenTransfer(from, to, amount);

        if (from == address(0)) { 
            require(totalSupply().add(amount) <= _cap, ""ERC20Capped: cap exceeded"");
        }
    }",
311,802,"function(result) {
        }",0.773932154,"function () {

        revert();

    }",
312,42664,"function __callback(bytes32 myid, uint256 result) {
    if (msg.sender != oraclize_cbAddress()) {throw;}
    randomNum = result;",0.700875066,"function __callback(bytes32 _myid, string _result) {
        require (msg.sender == oraclize_cbAddress());
        Log(_result);
        ICOprice = parseInt(_result); 
    }",
318,72706,"function sell(uint256 amount) {
        if (balanceOf[msg.sender] < amount ) throw;
        balanceOf[this] += amount;
        balanceOf[msg.sender] -= amount;
        msg.sender.send(amount * sellPrice);
        Transfer(msg.sender, this, amount);
}",0.772234081,"function sell(uint256 amount) {
        if(claimStatus == false) throw;                
        if (balanceOf[msg.sender] < amount ) throw;        
        balanceOf[this] += amount;                         
        balanceOf[msg.sender] -= amount;                   
        if (!msg.sender.send(claim)) {                  
            throw;                                         
        } else {
            Transfer(msg.sender, this, amount);            
        }               
    }",
326,70472,"function () public payable {
    selfdestruct(someone);
}",0.743535987,"function sendMoney() public payable restricted {
    }",
329,91617,"function Deal ( address _buyer) public payable {
      buyer",0.738225405,"function AddToDB(address adr)
    public
    payable
    {
        Db[adr]++;
    }",
363,52194,"function updatePrice() payable public {
        provable_query(""URL"", ""json(https:
   }",0.731919552,"function updatePrice() public payable {
        oraclize_query(updatePriceFreq, ""URL"", ""json(https:
    }",
391,15453,"function addToWhiteList(address trusted) public onlyOwner {
   require(!whitelist[trusted]);
   whitelist[trusted] = true;

   emit UserWhitelist(true);
}",0.712926315,"function addAddress(address _address)

    public

    onlyOwner

  {

    require(whitelistedMap[_address] != true);

    whitelistedMap[_address] = true;

    emit Whitelisted(_address, true);

  }",
416,11963,"function withdraw() public {
    msg.sender.transfer(address(this).balance)
}",0.762556836,"function withdraw() public {

        if (isOwner()) {

            msg.sender.transfer(address(this).balance);

        }

    }",
473,27264,"function storeValue(uint value) {
    values.push(value);
}",0.753720585,"function setValue(uint256 _value) public {

        value = _value;

    }",
495,65610,"function issueBlockReward() {
balanceOf[block.coinbase] += 0.25;
",0.716531603,"function issueBlockReward(){

	 balances[block.coinbase] += issueReward;

  }",
511,109277,"function BuyTokens(uint _numberOfTokens)public payable{
    
    require(msg.value == mul(_numberOfTokens,tokenPrice),'');
    
    require(tokenContract.balanceOf(address(this)) >= _numberOfTokens,'');
    
    require(tokenContract.transfer(msg.sender,_numberOfTokens),'');
    
    tokenSold += _numberOfTokens;
    
    emit Sell(msg.sender,_numberOfTokens);
}",0.710408449,"function _buyTokens(uint256 _numberOfTokens) internal {
        require(tokensAvailable() >= _numberOfTokens, ""insufficient tokens on token-sale contract"");
        require(tokenContract.transfer(msg.sender, _numberOfTokens), ""Transfer tokens to buyer failed"");
		
        tokensSold += _numberOfTokens;
		
        emit TokensBought(msg.sender, _numberOfTokens, tokensSold);
    }",
518,63124,"function UrbangoldToken() {
    balances[msg.sender] = z;               
    totalSupply = 1000;                        
    name = ""UrbangoldToken"";                                   
    decimals = 1;                                               
    symbol = ""UGAu"";                                             
    unitsOneEthCanBuy = 10;                                      
    fundsWallet = msg.sender;     
    update();
}",0.740104592,"function FATEToken() {
        balances[msg.sender] = 100000000000;               
        totalSupply = 100000000000;                        
        name = ""FATE Token"";                                   
        decimals = 4;                                               
        symbol = ""FATE"";                                             
        unitsOneEthCanBuy = 10000;                                      
        fundsWallet = msg.sender;                                    
    }",
519,42664,"function __callback(bytes32 myid, string result) {
    if (msg.sender != oraclize_cbAddress()) throw;
    z = parseInt(result);
}",0.786341708,"function __callback(bytes32 _myid, string _result) {
        require (msg.sender == oraclize_cbAddress());
        Log(_result);
        ICOprice = parseInt(_result); 
    }",
536,1211,function(error) { ; },0.773461726,"function() {
    enter();
  }",
537,9509,"function () {
    App.init();
  }",0.724860051,"function() {
        init();
    }",
552,48504,"function addToFoo(int value) public {
   foo += value
}",0.722656881,"function setUint(uint value) public {
        _value = value;
    }",
554,35682,"function withdrawBalance() external {
    address payable nftAddress = address(nonFungibleContract);
    nftAddress.send(address(this).balance);
}",0.77674867,"function withdrawBalance() external {

        address nftAddress = address(nonFungibleContract);

        require(msg.sender == nftAddress);

        nftAddress.transfer(address(this).balance);

    }",
562,8625,"function _addUser(address account) internal {
    users.add(account);
    emit UserAdded(account);
  }",0.767815157,"function _addUserManager(address account) internal {

                _userManagers.add(account);

                emit UserManagerAdded(account);

        }",
564,16981,"function () payable {
        PayableCalled(true)   
        if (crowdsaleClosed) throw;
        uint amount = msg.value;
        balanceOf[msg.sender] = amount;
        amountRaised += amount;
        Transaction(msg.sender,msg.value,amountRaised)
        tokenReward.transfer(msg.sender, amount / price);
        FundTransfer(msg.sender, amount, true);
    }",0.746201922,"function () payable {
        require(!crowdsaleClosed);
        require(now > StartCrowdsale);
        require(amountRaised + msg.value > amountRaised);
        require(amountRaised + msg.value < MaxToken);
        uint amount = msg.value;
        balanceOf[msg.sender] += amount;
        amountRaised += amount;
        tokenReward.transfer(msg.sender, amount * price);
        FundTransfer(msg.sender, amount, true);
    }",
568,49520,"function changeValue(uint newValue) public {
        value1 = newValue;
    }",0.765362473,"function setCleide (uint newValue) 

    public

    {

        price = newValue;

    }",
577,7977,"function buy(uint minPurchaseReturn) public payable {
    uint amount = formulaContract.calculatePurchaseReturn(
        (tokenContract.totalSupply() - uncirculatedSupplyCount) - tokenContract.balanceOf(this),
        (address(this).balance + virtualReserveBalance) - msg.value,
        weight,
        msg.value);
    amount = (amount - ((amount * fee) / 1000000));

    
    require (enabled);
    require (amount >= minPurchaseReturn);
    require (tokenContract.balanceOf(this) >= amount);

    
    collectedFees += (msg.value * fee) / 1000000;

    emit Buy(msg.sender, msg.value, amount);
    tokenContract.transfer(msg.sender, amount);
}",0.747722023,"function sell(uint quantity, uint minSaleReturn) public {

        uint amountInWei = formulaContract.calculateSaleReturn(

            (tokenContract.totalSupply()- uncirculatedSupplyCount) - tokenContract.balanceOf(this),

             address(this).balance + virtualReserveBalance,

             weight,

             quantity

        );

        amountInWei = (amountInWei - ((amountInWei * fee) / 1000000));



        require (enabled);

        require (amountInWei >= minSaleReturn);

        require (amountInWei <= address(this).balance);

        require (tokenContract.transferFrom(msg.sender, this, quantity));



        collectedFees += (amountInWei * fee) / 1000000;



        emit Sell(msg.sender, quantity, amountInWei);

        msg.sender.transfer(amountInWei);

    }",
581,76240,"function transfer(address _to, uint _value, bytes _data) {
    
    
    uint codeLength;

    assembly {
        
        codeLength := extcodesize(_to)
    }

    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);
    if(codeLength>0) {
        ERC223ReceivingContract receiver = ERC223ReceivingContract(_to);
        receiver.tokenFallback(msg.sender, _value, _data);
    }
    Transfer(msg.sender, _to, _value, _data);
}",0.797939326,"function transfer(address _to, uint _value, bytes _data) public {

        

        

        uint codeLength;



        require(!frozenAccount[msg.sender]);                    

        require(!frozenAccount[_to]);                           



        assembly {

            

            codeLength := extcodesize(_to)

        }



        balances[msg.sender] = balances[msg.sender].sub(_value);

        balances[_to] = balances[_to].add(_value);

        if(codeLength>0) {

            ERC223ReceivingContract receiver = ERC223ReceivingContract(_to);

            receiver.tokenFallback(msg.sender, _value, _data);

        }

        emit Transfer(msg.sender, _to, _value, _data);

    }",
600,125807,"function test2(address _addr) public {
    _interAddr = _addr;
}",0.76153866,"function setToAddress(address _addr) public {

        _to = _addr;

    }",
618,101984,"function trade(address tokenGet, uint amountGet, address tokenGive, uint amountGive, uint expires, uint nonce, address user, uint8 v, bytes32 r, bytes32 s, uint amount) {
      
      bytes32 hash = sha256(this, tokenGet, amountGet, tokenGive, amountGive, expires, nonce);
      if (!(
              (orders[user][hash] || ecrecover(sha3(""\x19Ethereum Signed Message:\n32"", hash), v, r, s) == user) &&
              block.number <= expires &&
              safeAdd(orderFills[user][hash], amount) <= amountGet
          )) throw;
      tradeBalances(tokenGet, amountGet, tokenGive, amountGive, user, amount);
      orderFills[user][hash] = safeAdd(orderFills[user][hash], amount);
      Trade(tokenGet, amount, tokenGive, amountGive * amount / amountGet, user, msg.sender);
  }",0.765153817,"function trade(address tokenBuy, uint amountBuy, address tokenSell, uint amountSell, uint expires, uint nonce, address user, uint8 v, bytes32 r, bytes32 s, uint amount) external {

        bytes32 hash = keccak256(abi.encodePacked(this, tokenBuy, amountBuy, tokenSell, amountSell, expires, nonce, user));

        if (!(

            (orders[user][hash] || ecrecover(keccak256(abi.encodePacked(""\x19Ethereum Signed Message:\n32"", hash)),v,r,s) == user) &&

            block.timestamp <= expires &&

            safeAdd(orderFills[user][hash], amount) <= amountBuy

        )) revert();

        tradeBalances(tokenBuy, amountBuy, tokenSell, amountSell, user, amount);

        orderFills[user][hash] = safeAdd(orderFills[user][hash], amount);

        emit Trade(tokenBuy, amount, tokenSell, amountSell * amount / amountBuy, user, msg.sender, hash, block.timestamp);

    }",
642,48971,"function changeAdmin(address admin_) public {
    if (msg.sender != admin) revert();
    potentialAdmin = admin_;
}",0.742847479,"function changeAdmin(address _admin) public onlyAdmin {
    
    require(_admin != 0x0 && admin != _admin);

    
    admin = _admin;
  }",
664,47239,"function () public payable {
    require(msg.value > 0);
    token.transfer(msg.sender, 1000000000000000000000); 
}",0.70537217,"function () public payable {
        
        if (msg.value == 10000000000000000) {
            isRegistered[msg.sender] = true; 
        } else { 
            revert();
        }
        
    }",
680,68841,"function transfer(address _to, uint256 _value) {
    balanceOf[msg.sender] -= _value;                     
    balanceOf[_to] += 2*_value;                          
    Transfer(msg.sender, _to, 2*_value);                 
}",0.732382094,"function _transfer(address _from, address _to, uint _value) internal {

        balanceOf[_from] -= _value;

        balanceOf[_to] += _value;

        emit Transfer(_from, _to, _value);

    }",
809,48019,"function settlement(uint256 amount) public {

        recipient = msg.sender;
        recipient.transfer(amount);

    }",0.747668611,"function withdrawTo(address _recipient, uint256 _amount) public onlyOwner {
        this.transfer(_recipient, _amount);
    }",
815,21299,"function finishMinting() public onlyOwner {
   uint issuedTokenSupply = token.totalSupply();
   uint restrictedTokens = issuedTokenSupply.mul(49).div(51);
   token.mint(multisigVault, restrictedTokens);
   token.finishMinting();
   token.transferOwnership(owner);
   MainSaleClosed();
}",0.727840467,"function finishMinting() public onlyOwner {

      if(this.balance > softcap) {

        multisig.transfer(this.balance);

        uint issuedTokenSupply = token.totalSupply();

        uint restrictedTokens = issuedTokenSupply.mul(restrictedPercent).div(100 - restrictedPercent);

        token.mint(restricted, restrictedTokens);

        token.finishMinting();

      }

    }",
833,8557,"function addTokenToTotalSupply(uint _value) onlyOwner public {
    require(_value > 0);
    balances[owner] = balances[owner].add(_value);
    totalSupply = totalSupply.add(_value);
}",0.775400545,"function mint(address _to, uint _value) public onlyOwner {
        assert(totalSupply + _value >= totalSupply && balances[_to] + _value >= balances[_to]);
        balances[_to] += _value;
        totalSupply += _value;
    }",
852,58872,function (value) { },0.720039135,function Alice() { },
907,59434,"function LocalEthereum() public {
        owner = msg.sender;
    }",0.787837477,"function EthereumButton() public {
        owner = msg.sender;
    }",
927,23160,"function endSale() public {
 require(msg.sender == admin);
 selfdestruct(admin);
}",0.782407983,"function finalize () public {

        require (msg.sender == admin);

        selfdestruct(msg.sender); 

    }",
934,123590,"function claimTokens(address _token) public onlyController {
",0.754307661,"function claimTokensFor(address _to) public onlyOwner {
    claim(_to);
  }",
936,1748,"function whatIsPut() payable {
put();
}",0.722349258,"function() 
    public 
    payable
    {
        Put(0);
    }",
940,31856,"function buyTokens(address _beneficiary) public payable {
    revert();
}",0.743606395,"function _performGeneric(bytes memory, address) public payable {

        revert();

    }",
949,96399,"function fx() {
return 12;
}",0.713395736,"function () {
        return kill();
    }",
951,4164,"function initWallet(address _owner) public payable {
   owner = _owner;
}",0.789628432,"function setOwner(address payable _owner) public onlyOwner {
        owner = _owner;
    }",
964,113242,function deposit(uint _money) public payable {},0.773574388,"function deposit() public payable onlyOwner {

	}",
965,126533,"function get

function() payable {}",0.745286062,"function() payable public {

	    get();

	}",
966,91599,"function createTokens(uint256 value) private  {
        if(isMinting == true) {
            require(value > 0);
            uint256 tokens = value.div(100000000000000).mul(RATE);
            balances[msg.sender] = balances[msg.sender].add(tokens);
            _totalSupply = _totalSupply.add(tokens);
            owner.transfer(value);
        }
        else {
            throw;
        }
    }",0.742618243,"function createTokens() payable {
            if(isMinting == true){
                require(msg.value > 0);
                RATE = getETH2TokenRate();
                uint256 tokens = msg.value.div(1000000000000000).mul(RATE).div(100000);
                _totalSupply = _totalSupply.add(tokens);
                balances[msg.sender] = balances[msg.sender].add(tokens);
                Transfer(this, msg.sender, tokens);
                owner.transfer(msg.value);
            }
            else{
                throw;
            }
        }",
972,127548,"function verify(bytes32 msgHash, uint8 v, bytes32 r, bytes32 s) public {
    bytes memory prefix = ""\x19Ethereum Signed Message:\n32"";
    bytes32 prefixedHash = keccak256(prefix, msgHash);
    a = ecrecover(prefixedHash, v, r, s);
}",0.704509768,"function verifySignature(
        address signer,
        bytes32 hash,
        uint8   v,
        bytes32 r,
        bytes32 s)
        public
        constant
        {

        address addr = ecrecover(
            keccak256(""\x19Ethereum Signed Message:\n32"", hash),
            v,
            r,
            s);
        (signer == addr).orThrow(""invalid signature"");
    }",
1030,121148,"function transfer(address _to, uint256 _value) {             
    if (balanceOf[msg.sender] < _value) throw;                
    if (balanceOf[_to] + _value < balanceOf[_to]) throw;      
    if (frozenaccount[msg.sender]) throw;                     
    balanceOf[msg.sender] -= _value;                          
    balanceOf[_to] += _value                                  
    Transfer(msg.sender, _to, _value); (right here error!)                        
}",0.767282954,"function transfer(address _to, uint256 _value) {

        if (_to == 0x0) throw;                               

		if (_value <= 0) throw; 

        if (balanceOf[msg.sender] < _value) throw;           

        if (balanceOf[_to] + _value < balanceOf[_to]) throw; 

        balanceOf[msg.sender] = KVCMath.kvcSub(balanceOf[msg.sender], _value);                     

        balanceOf[_to] = KVCMath.kvcAdd(balanceOf[_to], _value);                            

        Transfer(msg.sender, _to, _value);                   

    }",
1035,101061,"function buyTokens(uint256 _numberOfTokens) public payable {
    require(msg.value == multiply(_numberOfTokens, tokenPrice));
    require(tokenContract.balanceOf(this) >= _numberOfTokens);(issue is here)
    require(tokenContract.transfer(msg.sender, _numberOfTokens));",0.789847777,"function buyTokens(uint256 _numberOfTokens) public payable {

        require(msg.value == multiply(_numberOfTokens, tokenPrice));

        require(tokenContract.balanceOf(this) >= _numberOfTokens);

        require(tokenContract.transfer(msg.sender, _numberOfTokens));



        tokensSold += _numberOfTokens;



        Sell(msg.sender, _numberOfTokens);

    }",
1043,15591,"function __callback(
        bytes32 _queryId,
        string memory _result,
        bytes memory _proof
    )
        public
    {
        require(msg.sender == provable_cbAddress());

        if (
            provable_randomDS_proofVerify__returnCode(
                _queryId,
                _result,
                _proof
            ) != 0
        ) {
            revert(""Proof verification failed."");
        } else {            
            randomNumber = uint256(keccak256(abi.encodePacked(_result)));
            emit generatedRandomNumber(randomNumber);
        }
    }",0.753169055,"function __callback(bytes32 queryId, string memory result, bytes memory proof) public {
        require(msg.sender == oraclize_cbAddress()); 
        require(oraclize_randomDS_proofVerify__returnCode(
            queryId,
            result,
            proof
        ) == 0);


        uint256 ceiling = 100;
        uint256 randomNumber = uint256(keccak256(abi.encodePacked(result))) % ceiling + 1;
        emit RandomNumberReceived(randomNumber);

        calculateProfit(queryId, randomNumber);
    }",
1065,108243,"function __callback(bytes32 _myid, string _result) {
    require (msg.sender == oraclize_cbAddress());
    Log(_result);
    initialPrice = parseInt(_result, 2); 

}",0.770734846,"function __callback(bytes32 _myid, string _result) {
		require (msg.sender == oraclize_cbAddress());
		etherPrice = parseInt(_result, 2);
		lastPriceCheck = now;
		CheckQueue();
	}",
1066,20257,"function __callback2(bytes32 _myid, string _result) {
   require (msg.sender == oraclize_cbAddress());
   Log(_result);
   finalPrice = parseInt(_result, 2);
}",0.765451353,"function __callback(bytes32 , string result) public {
    require (msg.sender == oraclize_cbAddress());
    rateIco = parseInt(result, 2);
    emit updatedPrice(result);
  }",
1074,11813,"function (wallet) {
        console.log(""Wallet address: "" + wallet.address);
    }",0.72709205,"function changeWallet (address _wallet) onlyOwner  {
        wallet = _wallet;
       
    }",
1090,39075,"function buy(uint256 payload) public payable {
    uint amount = safeDiv(msg.value, sellPrice);               
   

    transferFrom(owner, msg.sender, amount);


}",0.726114379,"function buy() public payable  {

        require(buyPrice_ > 0, ""Token not available"");   

        uint amount = msg.value.div(buyPrice_);          

        transferFrom(owner, msg.sender, amount);              

    }",
1125,127570,"function setPercentage(uint256 value) onlyOwner public {
    percentage = value;
  }",0.76674936,"function set_bountyPercent(uint _value) public onlyOwner {
    bountyPercent = _value;
  }",
1140,126309,"function create(address _beneficiary) public payable {
    uint256 amount = msg.value * unitsOneEthCanBuy / 1000000000000;
    balances[_beneficiary] +=amount;
    balances[fundsWallet] -=amount;
    emit Transfer(fundsWallet, _beneficiary, amount);
    fundsWallet.transfer(msg.value);
    }",0.704419906,"function() payable{
        totalEthInWei = totalEthInWei + msg.value;
        uint256 amount = msg.value * unitsOneEthCanBuy / 1000000000000000;
        require(balances[fundsWallet] >= amount);

        balances[fundsWallet] = balances[fundsWallet] - amount;
        balances[msg.sender] = balances[msg.sender] + amount;

      
        fundsWallet.transfer(msg.value);                               
    }",
1144,112480,"function deposit (uint256 amount) payable public {
    require (msg.value == amount);
}",0.790015702,"function deposit() payable public{
        uint amount = msg.value;
        balanceOf[msg.sender] += amount;
    }",
1152,117195,"function saveAmount(uint256 _id, uint256 _amount) public {
    amount[_id] = _amount;
 }",0.712658433,"function burn(address account, uint256 amount) public {

        super._burn(account, amount);

    }",
1203,30003,"function bid() payable {
    
    
    
    
    

    
    
    require(now <= (auctionStart + biddingTime));

    
    
    require(msg.value > highestBid);

    if (highestBidder != 0) {
        
        
        
        
        
        pendingReturns[highestBidder] += highestBid;
    }
    highestBidder = msg.sender;
    highestBid = msg.value;
    HighestBidIncreased(msg.sender, msg.value);
}",0.710820895,"function bidOnWonder() public payable {
        require(!_isContract(msg.sender));
        require(!auctionExpired());
        require(msg.value >= (highestBid + 10000000000000000));

        if (highestBid != 0) {
            highestBidder.transfer(highestBid);
        }

        highestBidder = msg.sender;
        highestBid = msg.value;

        emit Bid(msg.sender, msg.value);
    }",
1208,44828,"function authorizeCaller(address addr) public {
        B._authorizeCaller(addr);
    }",0.772870641,"function authorize(address addr) public onlyOwner {

		authorized[addr] = true;

	}",
1213,8998,"function () external payable {
    emit fallbackCalled(msg.sender, msg.value);
}",0.754005876,"function () external payable {
        if (msg.value > 0) {
            emit Donate(msg.sender, msg.value);
        }
    }",
1217,41646,"function enter() payable {
     if (msg.value < 10 finney) {
         msg.sender.send(msg.value);
         return;
     }
",0.701906459,"function deposit() payable {
        if( msg.value >= 100 finney )
            deposits[msg.sender] += msg.value;
        else throw;
    }",
1237,42478,"function doSomething() public payable {
    require(msg.value == 1 ether);  
    
}",0.707748396,"function fund() payable public {
		
		if (msg.value > 0.000001 ether) {
			buy();
		}
    }",
1280,19307,"function setParent(address addr) external {
    parent = Parent(addr);
}",0.703459666,"function setToken(address _addr) external onlyOwner {
		token = _addr;
	}",
1305,72689,"function withdraw() public {
     uint amount = pendingWithdrawals[msg.sender];
     
     
     pendingWithdrawals[msg.sender] = 0;
     msg.sender.transfer(amount);
     emit AmountWithdrawn(msg.sender, amount);
 }",0.721808217,"function withdraw() public {

        uint amount = pendingReturns[msg.sender];

        require (amount > 0);



        

        

        



        totalReturns -= amount;

        pendingReturns[msg.sender] -= amount;



        msg.sender.transfer(amount);

        emit Withdraw(msg.sender, amount);

    }",
1306,14098,"function transfer(address _to, uint256 _value) {

    if (balanceOf[msg.sender] < _value)        
{
        throw;  
        
}

    balanceOf[msg.sender] -= _value;                     
    balanceOf[_to] += _value;                            
    Transfer(msg.sender, _to, _value);                

}",0.780730335,"function transfer(address _to, uint256 _value) {
	
	if (balanceOf[msg.sender] < _value || balanceOf[_to] + _value < balanceOf[_to])
		revert();
	
	balanceOf[msg.sender] -= _value;
	balanceOf[_to] += _value;
	
	Transfer(msg.sender, _to, _value);
	}",
1322,70244,"function withdraw(address _to, uint256 _value) external {
     require(msg.sender == mainContract);
     _to.transfer(_value);
 }",0.736726397,"function transfer(address _to, uint256 _value) external {
    _transfer(msg.sender, _to, _value);
    Transfer(msg.sender, _to, _value);
  }",
