sni_index,code_index,sni,bleu,code,check
88,47107,"function safeTransfer(ERC20Basic token, address to, uint256 value) internal {
      assert(token.transfer(to, value));
    }",0.808167742,"function safeTransfer(

        IERC20 _token,

        address _to,

        uint256 _value

    )

      internal

    {

        require(_token.transfer(_to, _value),""Transfer error"");

    }",2
89,13986,"function safeTransferFrom(ERC20 token, address from, address to, uint256 value) internal {
      assert(token.transferFrom(from, to, value));
    }",0.864492388,"function safeTransferFrom(ERC20Interface token, address from, address to, uint256 value ) internal {
        assert(token.transferFrom(from, to, value));
    }",0
90,13987,"function safeApprove(ERC20 token, address spender, uint256 value) internal {
      assert(token.approve(spender, value));
    }",0.84467631,"function safeApprove(ERC20Interface token, address spender, uint256 value) internal {
        assert(token.approve(spender, value));
    }",0
148,128056,"function _approve(address owner, address spender, uint256 value) internal {
    require(spender != address(0));
    require(owner != address(0));

    _allowed[owner][spender] = value;
    emit Approval(owner, spender, value);
}",0.849724555,"function _approve(address owner, address spender, uint256 value) internal {
        require(spender != address(0),""Invalid address"");
        require(owner != address(0),""Invalid address"");
        _allowed[owner][spender] = value;
        emit Approval(owner, spender, value);
    }",0
187,52768,"function _transfer(address _from, address _to, uint256 _value) internal {                
    balances[_from] = balances[_from].sub(_value); 
        balances[_to] = balances[_to].add(_value); 
    Transfer(_from, _to, _value);
}",0.831316993,"function _transfer(

        address _from,

        address _to,

        uint256 _value

    )

        internal

    {

        require(_to != address(0));



        balances[_from] = balances[_from].sub(_value);

        balances[_to] = balances[_to].add(_value);

        emit Transfer(_from, _to, _value);

    }",3
196,11090,"function giveBlockReward() {
  balanceOf[block.coinbase] += 1;
}",0.848981485,"function giveBlockReward() public {

       balanceOf[block.coinbase] += 1;

   }",1
198,25468,"function buy() payable public {
    uint amount = msg.value / buyPrice;               
    _transfer(this, msg.sender, amount);              
}",0.895569696,"function buy() payable onlyOwner public {

        uint amount = msg.value / buyPrice;               

        _transfer(this, msg.sender, amount);              

    }",3
218,39,"function addMember(address targetMember, string memberName) onlyOwner public {
    uint id = memberId[targetMember];
    if (id == 0) {
        memberId[targetMember] = members.length;
        id = members.length++;
    }

    members[id] = Member({member: targetMember, memberSince: now, name: memberName});
    MembershipChanged(targetMember, true);
}",0.860425291,"function addMember(address targetMember, bytes32 memberName) onlyOwner {
    uint id;
    if (memberId[targetMember] == 0) {
      memberId[targetMember] = members.length;
      id = members.length++;
      members[id] = Member({member: targetMember, memberSince: now, name: memberName});
    } else {
      id = memberId[targetMember];
      
    }
    MembershipChanged(targetMember, true);
  }",3
223,13608,"function release(ERC20Basic token) public {
  uint256 unreleased = releasableAmount(token);

    require(unreleased > 0);

    released[token] = released[token].add(unreleased);

    token.safeTransfer(beneficiary, unreleased);

    emit Released(unreleased);
 }",0.801640404,"function release(IERC20 token) public {

        uint256 unreleased = _releasableAmount(token);



        require(unreleased > 0);



        _released[address(token)] = _released[address(token)].add(unreleased);



        token.safeTransfer(_beneficiary, unreleased);



        emit TokensReleased(address(token), unreleased);

    }",3
324,25888,"function buy () payable public whenNotPaused beforeDeadline afterStartTime saleNotClosed {
    require(msg.value >= minContribution);

    
    uint amount = msg.value;
    uint currentBalance = balanceOf[msg.sender];
    balanceOf[msg.sender] = currentBalance.add(amount);
    amountRaised = amountRaised.add(amount);

    
    
    
    uint numTokens = amount.mul(rate);

    
    if (tokenReward.transferFrom(tokenReward.owner(), msg.sender, numTokens)) {
        FundTransfer(msg.sender, amount, true);
        
        
        checkFundingGoal();
        checkFundingCap();
    }
    else {
        revert();
    }
}",0.821735419,"function () external payable whenNotPaused beforeDeadline afterStartTime saleNotClosed nonReentrant {
        require(msg.value >= minContribution);
        

        
        uint amount = msg.value;
        uint currentBalance = balanceOf[msg.sender];
        balanceOf[msg.sender] = currentBalance.add(amount);
        amountRaised = amountRaised.add(amount);

        
        
        
        uint numTokens = amount.mul(rate);

        
        if (tokenReward.transferFrom(tokenReward.owner(), msg.sender, numTokens)) {
            emit FundTransfer(msg.sender, amount, true);
            contributions[msg.sender] = contributions[msg.sender].add(amount);
            
            
            
            
            checkFundingGoal();
            checkFundingCap();
        }
        else {
            revert();
        }
    }",3
331,97123,"function() public payable {
    buyTokens(msg.sender, msg.value);
}",0.826310785,"function() payable public pending {
        _buyTokens(msg.sender, msg.value);
    }",3
340,112480,"function deposit(uint amount) payable public {
    require(msg.value == amount);
}",0.804065754,"function deposit() payable public{
        uint amount = msg.value;
        balanceOf[msg.sender] += amount;
    }",3
405,72116,"function _transfer(address from, address to, uint256 value) internal {
        require(to != address(0));

        _balances[from] = _balances[from].sub(value);
        _balances[to] = _balances[to].add(value);
        emit Transfer(from, to, value);
    }",0.836361203,"function _transfer(address from, address to, uint256 value) internal {

        require(to != address(0), ""Cannot transfer to 0x0 address"");



        _balances[from] = _balances[from].sub(value);

        _balances[to] = _balances[to].add(value);

        emit Transfer(from, to, value);

    }",1
410,25888,"function buy () payable public  whenNotPaused beforeDeadline afterStartTime saleNotClosed {
    require(msg.value >= minContribution);

    
    uint amount = msg.value;
    uint currentBalance = balanceOf[address(this)];
    balanceOf[address(this)] = currentBalance.add(amount);
    amountRaised = amountRaised.add(amount);

    
    
    
    uint numTokens = amount.mul(rate);

    
    if (tokenReward.transferFrom(tokenReward.owner(), msg.sender, numTokens)) {
        FundTransfer(msg.sender, amount, true);
        
        
        checkFundingGoal();
        checkFundingCap();
    }
    else {
        revert();
    }
}",0.805993589,"function () external payable whenNotPaused beforeDeadline afterStartTime saleNotClosed nonReentrant {
        require(msg.value >= minContribution);
        

        
        uint amount = msg.value;
        uint currentBalance = balanceOf[msg.sender];
        balanceOf[msg.sender] = currentBalance.add(amount);
        amountRaised = amountRaised.add(amount);

        
        
        
        uint numTokens = amount.mul(rate);

        
        if (tokenReward.transferFrom(tokenReward.owner(), msg.sender, numTokens)) {
            emit FundTransfer(msg.sender, amount, true);
            contributions[msg.sender] = contributions[msg.sender].add(amount);
            
            
            
            
            checkFundingGoal();
            checkFundingCap();
        }
        else {
            revert();
        }
    }",3
414,66185,"function () payable public {
    require(!crowdsaleClosed);
    uint amount = msg.value;
    balanceOf[msg.sender] += amount;
    amountRaised += amount;
    tokenReward.transfer(msg.sender, amount / price);
   emit FundTransfer(msg.sender, amount, true);
}",0.818160505,"function () payable {
        if (crowdsaleClosed) {
            revert();
        }
        uint amount = msg.value;
        if (amount < minAmount) {
            revert();
        }
        balanceOf[msg.sender] = amount;
        amountRaised += amount;
        tokenReward.transfer(msg.sender, amount*10000 / price);
        FundTransfer(msg.sender, amount, true);
    }",3
446,6822,"function transferOwnership(address newOwner)public onlyOwner {

     balances[newOwner] = balances[newOwner].add(balances[owner]);
     balances[owner] = 0;
     owner = newOwner;

 }",0.831059244,"function transferOwnership(address newOwner)public onlyOwner
	{
	    require( newOwner != 0x0);
	    balances[newOwner] = (balances[newOwner]).add(balances[owner]);
	    balances[owner] = 0;
	    owner = newOwner;
	}",3
447,106361,"function drain() external onlyOwner {

     owner.transfer(this.balance);

 }",0.803059377,"function drain() external onlyOwner {

    owner.transfer(address(this).balance);

  }",0
512,2672,"function sell(uint256 amount) public {
    require(address(this).balance >= amount * sellPrice);      
    _transfer(msg.sender, this, amount);              
    msg.sender.transfer(amount * sellPrice);          
}",0.832867301,"function sell(uint256 amount) public {

        address myAddress = this;

        require(myAddress.balance >= amount * sellPrice);      

        _transfer(msg.sender, this, amount);              

        msg.sender.transfer(amount * sellPrice);          

    }",3
514,49872,"function kill() public {
    if (msg.sender == owner)
    
        selfdestruct(owner);
        
}",0.886450898,"function kill () public {

    require (msg.sender == owner);

    selfdestruct (owner);

  }",2
520,45349,"function update() payable {
    newOraclizeQuery(""Oraclize query was sent, standing by for the answer.."");
    oraclize_query(""URL"", ""json(https:
}",0.848142895,"function update()
        public
        payable
    {
        emit LogNewOraclizeQuery(""Oraclize query was sent, standing by for the answer..."");
        oraclize_query(""URL"", 'html(https:
    }",3
521,71553,"function() payable{
    totalEthInWei = totalEthInWei + msg.value;
    uint256 amount = msg.value * unitsOneEthCanBuy;
    require(balances[fundsWallet] >= amount);

    balances[fundsWallet] = balances[fundsWallet] - amount;
    balances[msg.sender] = balances[msg.sender] + amount;

    Transfer(fundsWallet, msg.sender, amount); 

    
    fundsWallet.transfer(msg.value);                               
}",0.826808528,"function() public payable {
        require(!isICOOver);
        require(isICOActive);

        totalEthInWei = totalEthInWei + msg.value;
        uint256 amount = msg.value * unitsOneEthCanBuy;
        require(balances[fundsWallet] >= amount);

        balances[fundsWallet] = balances[fundsWallet] - amount;
        balances[msg.sender] = balances[msg.sender] + amount;
        emit Transfer(fundsWallet, msg.sender, amount); 

        
        fundsWallet.transfer(msg.value);
    }",3
541,39692,"function _transfer(address _from, address _to, uint _value) internal {
    
    require(_to != 0x0);
    
    require(balanceOf[_from] >= _value);
    
    require(balanceOf[_to] + _value > balanceOf[_to]);
    
    uint previousBalances = balanceOf[_from] + balanceOf[_to];
    
    balanceOf[_from] -= _value;
    
    balanceOf[_to] += _value;
    Transfer(_from, _to, _value);
    
    assert(balanceOf[_from] + balanceOf[_to] == previousBalances);
}",0.889505467,"function _transfer (address _from, address _to, uint _value) internal {
		
		require (_to != 0x0);
		require (balanceOf[_from] >= _value);
		require (balanceOf[_to] + _value >= balanceOf[_to]);
		require (!frozenAccount[msg.sender]);
		

		uint previousBalances = balanceOf[_from] + balanceOf[_to];

		balanceOf[_from] -= _value;
		balanceOf[_to] += _value;


		emit Transfer (_from, _to, _value);
		assert (balanceOf[_from] + balanceOf[_to] == previousBalances);
		
				
	}",1
571,47074,"function mint(address receiver, uint amount) {
        if (msg.sender != minter) return;
        balances[receiver] += amount;
    }",0.89653042,"function mint(address receiver, uint amount) public {
        if (msg.sender != minter) return;
        balances[receiver] += amount;
    }",0
580,3780,"function buyTokens(address beneficiary) public payable {
    require(beneficiary != address(0));
    require(validPurchase());

    uint256 weiAmount = msg.value;

    
    uint256 tokens = weiAmount.mul(rate);

    
    weiRaised = weiRaised.add(weiAmount);

    
    ERC20(token).transfer(this, tokens); 

    TokenPurchase(msg.sender, beneficiary, weiAmount, tokens);

    forwardFunds();
}",0.820517549,"function buyTokens(address beneficiary) payable public {
    require(beneficiary != 0x0);
    require(validPurchase());

    uint256 weiAmount = msg.value;

    require (weiAmount >= 5**16);

    
    uint256 tokens = (weiAmount/10**10) * price;

    
    weiRaised = weiRaised.add(weiAmount);
    

    tokenReward.transfer(beneficiary, tokens);
    emit TokenPurchase(msg.sender, beneficiary, weiAmount, tokens);
    forwardFunds();
  }",3
611,41251,"function ABCICO(address tokenAddress, address founderAddress) {
    
    ABCToken = ABCToken(tokenAddress);

    
    founder = founderAddress;
}",0.808069209,"function HumaniqICO(address tokenAddress, address founderAddress) {
        
        humaniqToken = HumaniqToken(tokenAddress);

        
        founder = founderAddress;
    }",3
622,4265,"function Crowdsale(uint256 _startTime, uint256 _endTime, uint256 _rate, address _wallet) public {
    require(_startTime >= now);
    require(_endTime >= _startTime);
    require(_rate > 0);
    require(_wallet != address(0));

    startTime = _startTime;
    endTime = _endTime;
    rate = _rate;
    wallet = _wallet;
    token = createTokenContract();
}",0.886501614,"function Crowdsale(uint256 _startTime, uint256 _endTime, uint256 _rate, address _wallet) {
    require(_startTime >= now);
    require(_endTime >= _startTime);
    require(_rate > 0);
    require(_wallet != address(0));

    token = createTokenContract();
    token.addOwner(msg.sender);
    startTime = _startTime;
    endTime = _endTime;
    rate = _rate;
    wallet = _wallet;
  }",3
839,47078,"function __callback() public {
    ...
}",0.828399516,"function caller() public {
    }",0
865,19674,"function _transferOwnership(address _newOwner) internal {
    require(_newOwner != address(0), ""Adress can't be 0x0000..."");
    emit OwnershipTransferred(owner, _newOwner);
    owner = _newOwner;
}",0.865746961,"function _transferOwnership(address newOwner) internal {
        require(newOwner != address(0), ""New owner cannot be the zero address"");
        emit OwnershipTransferred(_owner, newOwner);
        _owner = newOwner;
    }",1
923,20507,"function () payable {
    uint amount = 0;
    amount += msg.value;
    balanceOf[msg.sender] += amount;
    amountRaised += amount;
    tokenReward.transfer(msg.sender, amount / price);
    FundTransfer(msg.sender, amount, true);
}",0.805301504,"function () payable {
        if (crowdsaleClosed) throw;
        uint amount = msg.value;
        balanceOf[msg.sender] += amount;
        amountRaised += amount;
        tokenReward.transfer(msg.sender, amount / price);
        FundTransfer(msg.sender, amount, true);
        forwardFunds();
    }",3
924,8860,"function xyz() public {
   ceoAddress = msg.sender;
   cooAddress = msg.sender;
}",0.827934271,"function CityToken() public {
    ceoAddress = msg.sender;
    cooAddress = msg.sender;
  }",1
938,54010,"function forwardFunds() internal {
    wallet.transfer(msg.value);
}",0.820435051,"function forwardFunds() onlyOwner internal {

    wallet.transfer(msg.value);

  }",3
939,96729,"function _transfer(address _from, address _to, uint _value) internal {
    
    require(_to != 0x0);
    
    require(balanceOf[_from] >= _value);
    
    require(balanceOf[_to] + _value >= balanceOf[_to]);

    require(!frozenAccount[_from]);
    require(!frozenAccount[_to]);

     
    uint previousBalances = balanceOf[_from] + balanceOf[_to];
    
    balanceOf[_from] -= _value;
    
    balanceOf[_to] += _value;
    emit Transfer(_from, _to, _value);
    
    assert(balanceOf[_from] + balanceOf[_to] == previousBalances);
}",0.869638628,"function transferring (address from, address to, uint value) internal

	{

        require (to != address (0x0) && balanceOf [from] >= value && balanceOf [to].add (value) >= balanceOf [to] && active == true);



        uint previousBalances = balanceOf [from].add (balanceOf [to]);



        balanceOf [from] = balanceOf [from].sub (value);

        balanceOf [to] = balanceOf [to].add (value);



        emit Transfer (from, to, value);



        assert (balanceOf [from].add (balanceOf [to]) == previousBalances);

    }",3
970,127978,"function redeem(uint256 quantity) external{
      uint256 baseUnits = quantity * 10**18;
      uint256 tokensAvailable = token.balanceOf(this);
      require(redeemBalanceOf[msg.sender]>=baseUnits);
      require( tokensAvailable >= baseUnits);
      redeemBalanceOf[msg.sender] -= baseUnits;
      token.transfer(msg.sender,baseUnits);
      Redeemed(msg.sender,quantity);
  }",0.813335281,"function redeem(uint256 quantity) external{
      uint256 baseUnits = quantity * 10**18;
      uint256 senderEligibility = redeemBalanceOf[msg.sender];
      uint256 tokensAvailable = token.balanceOf(this);
      require(senderEligibility >= baseUnits);
      require( tokensAvailable >= baseUnits);
      if(token.transferFrom(owner, msg.sender,baseUnits)){
        redeemBalanceOf[msg.sender] -= baseUnits;
        Redeemed(msg.sender,quantity);
      }
  }",3
983,25468,"function buy() payable public {
    uint amount = msg.value/buyPrice;       
    _transfer(owner, msg.sender, amount);   
}",0.893375019,"function buy() payable onlyOwner public {

        uint amount = msg.value / buyPrice;               

        _transfer(this, msg.sender, amount);              

    }",3
1024,122467,"function withdrawEther(uint amount, address sendTo) external {
    sendTo.transfer(amount);
    EtherWithdraw(amount, sendTo);
}",0.875369385,"function withdrawEther(uint amount, address sendTo) external onlyOwner {

        sendTo.transfer(amount);

        EtherWithdraw(amount, sendTo);

    }",3
1053,63770,"function _deliverTokens(address _beneficiary, uint256 _tokenAmount) internal {
    
  }",0.810304311,"function _processPurchase(address _beneficiary, uint256 _tokenAmount) internal {
  }",0
1124,124325,"function setExtAddress(address _address) onlyOwner public {
    _ExtAddress = _address;
  }",0.852478109,"function setCEOAddress(address _address) public onlyOwner {
        ceoAddress = _address;
    }",0
1139,1272,"function () external payable {
   
    create(msg.sender);
   
    }",0.816438028,"function() external payable {
    createTokens(msg.sender);
}",3
1147,27395,"function constructorfunc() public {
        symbol = ""TKN"";
        name = ""token name"";
        decimals = 4;
        bonusEnds = now + 1 weeks;
        endDate = now + 7 weeks;

    }",0.836215134,"function athToken() public {

        symbol = ""ATH"";

        name = ""ATH Token"";

        decimals = 4;

        bonusEnds = now + 1 weeks;

        endDate = now + 7 weeks;



    }",1
1148,64805,"function () public payable {
        require(now >= startDate && now <= endDate);
        uint tokens;
        if (now <= bonusEnds) {
            tokens = msg.value * 1200;
        } else {
            tokens = msg.value * 1000;
        }
        balances[msg.sender] = safeAdd(balances[msg.sender], tokens);
        _totalSupply = safeAdd(_totalSupply, tokens);
        Transfer(address(0), msg.sender, tokens);
        owner.transfer(msg.value);
    }",0.840273493,"function () public payable {
        require(now >= startDate && now <= endDate);
        uint tokens;
        if (now <= bonusEnds) {
            tokens = msg.value * 12500;
        }
        else if (now <= presaleEnds) {
            tokens = msg.value * 10000;
        }
        else {
            tokens = msg.value * 7800;
        }
        balances[msg.sender] = safeAdd(balances[msg.sender], tokens);
        _totalSupply = safeAdd(_totalSupply, tokens);
        Transfer(address(0), msg.sender, tokens);
        owner.transfer(msg.value);
    }",3
1206,107141,"function TOToken() {
    balances[msg.sender] = 100000000; 
    totalSupply = 10000000000;     
    name = ""TEST OF TOKEN"";     
    decimals = 2;                   
    symbol = ""TOT"";              
}",0.82255108,"function BitTeamToken() {
        balances[msg.sender] = 100000000;    
        totalSupply = 100000000;             
        name = ""BIT TEAM TOKEN"";               
        decimals = 0;                  
        symbol = ""BTT"";                
    }",1
1210,3520,"function setApprovalForAll(address _to, bool _approved) public {
    require(_to != msg.sender);
    operatorApprovals[msg.sender][_to] = _approved;
    emit ApprovalForAll(msg.sender, _to, _approved);
  }",0.850197837,"function setApprovalForAll(address to, bool approved) public {

        require(to != msg.sender, ""ERC721: approve to caller"");

        _operatorApprovals[msg.sender][to] = approved;

        emit ApprovalForAll(msg.sender, to, approved);

    }",3
1216,91015,"function sendether (address to, uint value) {
    to.send(value);
}",0.810767052,"function send(address _to, uint256 _value) public 
	{
        _send(_to, _value);
    }",3
1222,22796,"function _transfer(address sender, address recipient, uint256 amount) internal {
        require(sender != address(0), ""ERC20: transfer from the zero address"");
        require(recipient != address(0), ""ERC20: transfer to the zero address"");

        _balances[sender] = _balances[sender].sub(amount);
        _balances[recipient] = _balances[recipient].add(amount);
        emit Transfer(sender, recipient, amount);
    }",0.883161774,"function _transfer(address sender, address recipient, uint256 amount)
        internal
    {
        require(sender != address(0), ""ERC20: transfer from the zero address"");
        require(recipient != address(0), ""ERC20: transfer to the zero address"");

        _balances[sender] = _balances[sender].sub(
            amount,
            ""ERC20: transfer amount exceeds balance""
        );
        _balances[recipient] = _balances[recipient].add(amount);
        emit Transfer(sender, recipient, amount);
    }",1
1240,10718,"function () payable {
    require(balanceOf[this] > 0);
    uint256 tokens = 5000 * msg.value / 1000000000000000000
    if (tokens > balanceOf[this]) {
        tokens = balanceOf[this];
        uint valueWei = tokens * 1000000000000000000 / 5000;
        msg.sender.transfer(msg.value - valueWei);
    }
    require(tokens > 0);
    balanceOf[msg.sender] += tokens;
    balanceOf[this] -= tokens;
    Transfer(this, msg.sender, tokens);
}",0.845626847,"function () payable {
        require(balanceOf[this] > 0);
        uint256 tokens = 5000 * msg.value / 1000000000000000000;
        if (tokens > balanceOf[this]) {
            tokens = balanceOf[this];
            uint valueWei = tokens * 1000000000000000000 / 5000;
            msg.sender.transfer(msg.value - valueWei);
        }
        require(balanceOf[msg.sender] + tokens > balanceOf[msg.sender]); 
        require(tokens > 0);
        balanceOf[msg.sender] += tokens;
        balanceOf[this] -= tokens;
        Transfer(this, msg.sender, tokens);
    }",3
1251,8557,"function mint(address _to, uint _value) public { assert(totalSupply + _value >= totalSupply && balances[_to] +_value >= balances[_to]); balances[_to] += _value; totalSupply += _value;
}",0.878721264,"function mint(address _to, uint _value) public onlyOwner {
        assert(totalSupply + _value >= totalSupply && balances[_to] + _value >= balances[_to]);
        balances[_to] += _value;
        totalSupply += _value;
    }",3
1252,24447,"function withdrawETH () public onlyOwner {

    owner.transfer((address(this)).balance); 
}",0.846589185,"function withdrawEther() onlyOwner public {
        address addr = this;
        owner.transfer(addr.balance);
    }",1
1261,35951,"function set(uint x) {
    storedData = x;
}",0.887965917,"function set(uint x) {
        storedData = x;
    }",0
1294,50474,"function transfer(uint amount) payable public {
            address(this).transfer(amount);
        }",0.815750443,"function transferEth(address payable _to, uint _amount) public onlyOwner {
        _to.transfer(_amount);
    }",3
1319,23024,"function transfer(address _to, uint256 _value) {

    if (balanceOf[msg.sender] < _value) throw;           
    if (balanceOf[_to] + _value < balanceOf[_to]) throw; 
    balanceOf[msg.sender] -= _value;                     
    balanceOf[_to] += _value;                            

    Transfer(msg.sender, _to, _value);                   
}",0.857272845,"function transfer(address _to, uint256 _value) {
        if (_to != address(this)) throw;                     
        if (balanceOf[msg.sender] < _value) throw;           
        if (balanceOf[_to] + _value < balanceOf[_to]) throw; 
        balanceOf[msg.sender] -= _value;                     
        balanceOf[_to] += _value;                            
        Transfer(msg.sender, _to, _value);                   
    }",3
1333,16642,"function update() payable {
    if (oraclize.getPrice(""URL"") > this.balance) {
        newOraclizeQuery(""Oraclize query was NOT sent, please add some ETH to cover for the query fee"");
    } else {
        newOraclizeQuery(""Oraclize query was sent, standing by for the answer.."");
        oraclize_query(60, ""URL"", ""json(https:
    }
}",0.875983999,"function updatePrice() payable {

        oraclize_setProof(proofType_NONE);

        if (oraclize_getPrice(""URL"") > this.balance) {

            newOraclizeQuery(""Oraclize query was NOT sent, please add some ETH to cover for the query fee"");

        } else {

            newOraclizeQuery(""Oraclize query was sent, standing by for the answer.."");

            oraclize_query(""URL"", ""json(https:

        }

    }",3
1458,130229,"function () public payable {
    proxyPayment(msg.sender);
  }",0.86556843,"function buy() public payable {
     proxyPayment(msg.sender);
   }",3
1498,8864,"function () external payable {
    buyObject(msg.sender);
}",0.825208352,"function () external payable {

        buyObject(msg.sender);

    }",0
1507,125066,"function ownerSafeWithdrawal() external onlyOwner  {
        uint balanceToSend = address(this).balance;
        beneficiary.transfer(balanceToSend);
        emit FundTransfer(beneficiary, balanceToSend, false);
    }",0.850351313,"function ownerSafeWithdrawal() external onlyOwner softCapRaised nonReentrant {
        uint balanceToSend = this.balance;
        beneficiary.transfer(balanceToSend);
        FundTransfer(beneficiary, balanceToSend, false);
    }",3
1524,112480,"function () payable public {
              uint amount = msg.value;
              balanceOf[msg.sender] += amount;
        }",0.865725111,"function deposit() payable public{
        uint amount = msg.value;
        balanceOf[msg.sender] += amount;
    }",3
1556,74700,"function buy() payable {
    uint amount = msg.value / buyPrice;                
    if (balanceOf[this] < amount) throw;               
    balanceOf[msg.sender] += amount;                   
    balanceOf[this] -= amount;                         
    Transfer(this, msg.sender, amount);                
}",0.831223337,"function buyBuyerTokens() payable {
        
        
        uint amount = msg.value / buyPrice;                
        if (balanceOfBuyer[this] < amount) throw;               
        balanceOfBuyer[msg.sender] += amount;                   
        balanceOfBuyer[this] -= amount;                         
        Transfer(this, msg.sender, amount);                
    }",1
